,session_start,session_end
403,2017-07-28 02:15:00,2017-07-28 02:15:00
404,2017-07-28 22:15:00,2017-07-28 22:15:00
405,2017-07-28 23:15:00,2017-07-28 23:20:00
406,2017-07-29 04:20:00,2017-07-29 04:50:00
407,2017-07-29 09:40:00,2017-07-29 09:40:00
408,2017-07-29 19:55:00,2017-07-29 19:55:00
409,2017-07-30 09:05:00,2017-07-30 09:05:00
410,2017-07-30 15:00:00,2017-07-30 15:00:00
411,2017-07-31 04:30:00,2017-07-31 17:05:00
412,2017-07-31 17:20:00,2017-07-31 17:40:00
413,2017-07-31 17:55:00,2017-07-31 17:55:00
414,2017-08-01 10:15:00,2017-08-01 10:15:00
415,2017-08-02 02:00:00,2017-08-02 02:00:00
416,2017-08-02 02:10:00,2017-08-02 02:20:00
417,2017-08-02 02:30:00,2017-08-02 02:30:00
418,2017-08-02 02:40:00,2017-08-02 08:40:00
419,2017-08-05 03:20:00,2017-08-05 04:05:00
420,2017-08-05 04:20:00,2017-08-05 04:20:00
421,2017-08-05 04:35:00,2017-08-05 05:45:00
422,2017-08-05 05:55:00,2017-08-05 05:55:00
423,2017-08-05 06:05:00,2017-08-05 06:10:00
424,2017-08-07 13:25:00,2017-08-07 13:25:00
425,2017-08-07 22:40:00,2017-08-07 22:40:00
426,2017-08-07 23:10:00,2017-08-07 23:10:00
427,2017-08-08 10:10:00,2017-08-08 10:10:00
428,2017-08-08 15:05:00,2017-08-08 15:05:00
429,2017-08-08 15:20:00,2017-08-08 15:20:00
430,2017-08-08 15:45:00,2017-08-08 15:45:00
431,2017-08-09 14:50:00,2017-08-09 15:40:00
432,2017-08-09 16:40:00,2017-08-09 16:40:00
433,2017-08-13 11:15:00,2017-08-13 11:20:00
434,2017-08-15 18:40:00,2017-08-15 18:40:00
435,2017-08-17 14:35:00,2017-08-17 14:35:00
436,2017-08-20 00:15:00,2017-08-20 00:35:00
437,2017-08-20 00:45:00,2017-08-20 00:45:00
438,2017-08-20 10:10:00,2017-08-20 10:10:00
439,2017-08-20 10:30:00,2017-08-20 10:40:00
440,2017-08-20 12:20:00,2017-08-20 12:20:00
441,2017-08-20 12:45:00,2017-08-20 12:50:00
442,2017-08-20 13:00:00,2017-08-20 13:00:00
443,2017-08-20 13:25:00,2017-08-20 13:25:00
444,2017-08-20 14:05:00,2017-08-20 14:10:00
445,2017-08-20 21:55:00,2017-08-20 22:25:00
446,2017-08-22 20:05:00,2017-08-22 20:25:00
447,2017-08-28 13:55:00,2017-08-28 14:40:00
448,2017-09-03 00:30:00,2017-09-03 00:30:00
449,2017-09-03 20:15:00,2017-09-03 20:15:00
450,2017-09-04 21:55:00,2017-09-04 21:55:00
451,2017-09-09 03:30:00,2017-09-09 04:20:00
452,2017-09-09 04:45:00,2017-09-09 14:40:00
453,2017-09-09 14:50:00,2017-09-09 14:50:00
454,2017-09-09 15:05:00,2017-09-09 15:10:00
455,2017-09-09 15:35:00,2017-09-09 15:35:00
456,2017-09-10 04:25:00,2017-09-10 04:35:00
457,2017-09-10 06:35:00,2017-09-10 06:35:00
458,2017-09-10 12:10:00,2017-09-10 12:10:00
459,2017-09-10 14:10:00,2017-09-10 14:10:00
460,2017-09-11 06:50:00,2017-09-11 07:55:00
461,2017-09-11 12:35:00,2017-09-11 12:35:00
462,2017-09-11 22:50:00,2017-09-11 23:05:00
463,2017-09-11 23:25:00,2017-09-12 07:20:00
464,2017-09-12 21:20:00,2017-09-13 11:25:00
465,2017-09-13 11:35:00,2017-09-13 17:00:00
466,2017-09-13 17:10:00,2017-09-14 00:10:00
467,2017-09-14 00:35:00,2017-09-14 00:35:00
468,2017-09-14 01:05:00,2017-09-14 03:35:00
469,2017-09-14 03:45:00,2017-09-14 03:55:00
470,2017-09-14 04:05:00,2017-09-14 04:15:00
471,2017-09-14 04:35:00,2017-09-14 05:10:00
472,2017-09-14 05:25:00,2017-09-14 05:50:00
473,2017-09-14 06:00:00,2017-09-14 06:00:00
474,2017-09-14 06:15:00,2017-09-14 06:15:00
475,2017-09-14 07:35:00,2017-09-14 07:35:00
476,2017-09-14 13:00:00,2017-09-14 13:00:00
477,2017-09-14 14:30:00,2017-09-14 14:30:00
478,2017-09-16 17:15:00,2017-09-16 17:15:00
479,2017-09-17 18:15:00,2017-09-17 20:15:00
480,2017-09-18 08:55:00,2017-09-18 08:55:00
481,2017-09-18 23:35:00,2017-09-18 23:45:00
482,2017-09-19 00:35:00,2017-09-19 16:05:00
483,2017-09-19 16:15:00,2017-09-19 20:20:00
484,2017-09-19 20:30:00,2017-09-19 22:10:00
485,2017-09-19 22:20:00,2017-09-20 17:10:00
486,2017-09-20 17:20:00,2017-09-20 22:45:00
487,2017-09-21 02:35:00,2017-09-21 02:40:00
488,2017-09-26 10:00:00,2017-09-26 10:00:00
489,2017-09-28 17:25:00,2017-09-28 17:30:00
490,2017-09-28 18:10:00,2017-09-28 18:10:00
491,2017-09-28 18:30:00,2017-09-28 18:30:00
492,2017-09-28 18:45:00,2017-09-28 18:45:00
493,2017-09-28 19:05:00,2017-09-28 20:00:00
494,2017-09-28 20:10:00,2017-09-28 20:10:00
495,2017-09-28 20:20:00,2017-09-28 20:30:00
496,2017-09-28 20:40:00,2017-09-28 23:25:00
497,2017-09-29 00:00:00,2017-09-29 01:35:00
